Year,GEO,"RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Seniors, 65 years and over, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada"
2011,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",18.1,20.4,18.1
2011,"Région de la Mauricie et du Centre-du-Québec, Quebec",20.2,18.9,20.2
2011,"Région de la Montérégie, Quebec",23.2,14.7,23.2
2011,"Région des Laurentides, Quebec",23.3,14.3,23.3
2011,"Région des Terres-Cries-de-la-Baie-James, Quebec",41.2,5,41.2
2011,"Région du Bas-Saint-Laurent, Quebec",19.2,19.6,19.2
2011,"Région du Nord-du-Québec, Quebec",23.9,10.8,23.9
2011,"Région du Nunavik, Quebec",44,3.3,44
2011,"Région du Saguenay - Lac-Saint-Jean, Quebec",20.4,17.4,20.4
2011,Saskatchewan,25.7,14.4,25.7
2011,"Saskatoon Regional Health Authority, Saskatchewan",24.4,12.8,24.4
2011,"Simcoe Muskoka District Health Unit, Ontario",23.4,16,23.4
2011,"South East Health Integration Network, Ontario",21.1,18.5,21.1
2011,"South Vancouver Island Health Service Delivery Area, British Columbia",18.4,18.4,18.4
2011,"South West Health Integration Network, Ontario",23.5,16.2,23.5
2011,"South Zone, Alberta",26.4,13.8,26.4
2011,"Southern Health, Manitoba",31.7,12.5,31.7
2011,"Sudbury and District Health Unit, Ontario",21.8,16.2,21.8
2011,"Sun Country Regional Health Authority, Saskatchewan",25,16.3,25
2011,"Sunrise Regional Health Authority, Saskatchewan",22.4,21.9,22.4
2011,"Thompson/Cariboo Health Service Delivery Area, British Columbia",21.3,17.7,21.3
2011,"Thunder Bay District Health Unit, Ontario",22.3,15.9,22.3
2011,"Timiskaming Health Unit, Ontario",21.2,18.9,21.2
2011,"Toronto Central Health Integration Network, Ontario",20.7,14,20.7
2011,"Vancouver Health Service Delivery Area, British Columbia",16.6,13.1,16.6
2011,"Waterloo Health Unit, Ontario",24.8,12.2,24.8
2011,"Waterloo Wellington Health Integration Network, Ontario",24.8,12.7,24.8
2011,"Wellington-Dufferin-Guelph Health Unit, Ontario",25.2,13.4,25.2
2011,"Western Regional Health Authority, Newfoundland and Labrador",19.6,18.2,19.6
2011,"Windsor-Essex County Health Unit, Ontario",24.2,14.9,24.2
2011,"Winnipeg Regional Health Authority, Manitoba",23.3,14.1,23.3
2011,"York Regional Health Unit, Ontario",25.6,11.4,25.6
2011,Yukon,23.1,8.8,23.1
2011,"Zone 1 (Moncton area), New Brunswick",20.4,15.9,20.4
2011,"Zone 1 - Western, Nova Scotia",19.9,19.8,19.9
2011,"Zone 2 (Saint John area), New Brunswick",22.7,15.6,22.7
2011,"Zone 2 - Northern, Nova Scotia",21.5,17.7,21.5
2011,"Zone 3 (Fredericton area), New Brunswick",22.6,14.9,22.6
2011,"Zone 3 - Eastern, Nova Scotia",20.8,19.2,20.8
2011,"Zone 4 (Edmundston area), New Brunswick",19.5,17,19.5
2011,"Zone 4 - Central, Nova Scotia",20.9,13,20.9
2011,"Zone 5 (Campbellton area), New Brunswick",18,20.9,18
2011,"Zone 6 (Bathurst area), New Brunswick",17.8,18.5,17.8
2011,"Zone 7 (Miramichi area), New Brunswick",20.4,18,20.4
2012,Alberta,24.8,11,24.8
2012,"Athabasca Health Authority, Saskatchewan",41.2,4.9,41.2
2012,"Brant County Health Unit, Ontario",24.4,15.3,24.4
2012,British Columbia,21.1,15.7,21.1
2012,"Calgary Zone, Alberta",24.2,10,24.2
2012,Canada,22.6,14.8,22.6
2012,"Central East Health Integration Network, Ontario",22.4,14.9,22.4
2012,"Central Health Integration Network, Ontario",23.5,12.9,23.5
2012,"Central Regional Health Authority, Newfoundland and Labrador",19,20,19
2012,"Central Vancouver Island Health Service Delivery Area, British Columbia",19.4,22,19.4
2012,"Central West Health Integration Network, Ontario",26.8,10.6,26.8
2012,"Central Zone, Alberta",25.7,13.6,25.7
2012,"Champlain Health Integration Network, Ontario",22.8,14.4,22.8
2012,"Chatham-Kent Health Unit, Ontario",23.2,18.3,23.2
2012,"City of Hamilton Health Unit, Ontario",22.8,15.7,22.8
2012,"City of Ottawa Health Unit, Ontario",22.9,13.4,22.9
2012,"City of Toronto Health Unit, Ontario",20.5,14.2,20.5
2012,"Cypress Regional Health Authority, Saskatchewan",23.7,18.6,23.7
2012,"District of Algoma Health Unit, Ontario",19.7,21,19.7
2012,"Durham Regional Health Unit, Ontario",25.5,12.4,25.5
2012,"East Kootenay Health Service Delivery Area, British Columbia",21.1,18,21.1
2012,"Eastern Ontario Health Unit, Ontario",22.6,17,22.6
2012,"Eastern Regional Health Authority, Newfoundland and Labrador",20.3,15.2,20.3
2012,"Edmonton Zone, Alberta",23.5,11.2,23.5
2012,"Erie St. Clair Health Integration Network, Ontario",23.3,16.6,23.3
2012,"Five Hills Regional Health Authority, Saskatchewan",22.5,18.9,22.5
2012,"Fraser East Health Service Delivery Area, British Columbia",25,15.6,25
2012,"Fraser North Health Service Delivery Area, British Columbia",21.5,12.5,21.5
2012,"Fraser South Health Service Delivery Area, British Columbia",24.7,13.5,24.7
2012,"Grey Bruce Health Unit, Ontario",20.9,21,20.9
2012,"Haldimand-Norfolk Health Unit, Ontario",22.6,18.2,22.6
2012,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",19.1,23,19.1
2012,"Halton Regional Health Unit, Ontario",26,13.4,26
2012,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",22.5,17,22.5
2012,"Hastings and Prince Edward Counties Health Unit, Ontario",21.1,19.8,21.1
2012,"Heartland Regional Health Authority, Saskatchewan",24.5,19,24.5
2012,"Huron County Health Unit, Ontario",23.4,20.1,23.4
2012,"Interlake-Eastern Regional Health Authority, Manitoba",25.8,16,25.8
2012,"Keewatin Yatthé Regional Health Authority, Saskatchewan",38.8,6.8,38.8
2012,"Kelsey Trail Regional Health Authority, Saskatchewan",26,19.7,26
2012,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",20.8,17.3,20.8
2012,"Kootenay-Boundary Health Service Delivery Area, British Columbia",19.7,19.7,19.7
2012,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",24.1,11.2,24.1
2012,"Lambton Health Unit, Ontario",21.7,18.8,21.7
2012,"Leeds, Grenville and Lanark District Health Unit, Ontario",21,19.6,21
2012,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",42.6,5.1,42.6
2012,"Mamawetan/Keewatin/Athabasca, Saskatchewan",41.4,5.6,41.4
2012,Manitoba,25.9,14.2,25.9
2012,"Middlesex-London Health Unit, Ontario",22.8,14.9,22.8
2012,"Mississauga Halton Health Integration Network, Ontario",25.2,11.9,25.2
2012,New Brunswick,20.7,16.9,20.7
2012,Newfoundland and Labrador,20.2,16.3,20.2
2012,"Niagara Regional Area Health Unit, Ontario",21.4,19,21.4
2012,"North Bay Parry Sound District Health Unit, Ontario",20,19.5,20
2012,"North East Health Integration Network, Ontario",21.1,18.1,21.1
2012,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",21.1,17.3,21.1
2012,"North Simcoe Muskoka Health Integration Network, Ontario",22.6,17.2,22.6
2012,"North Vancouver Island Health Service Delivery Area, British Columbia",20.7,19.4,20.7
2012,"North West Health Integration Network, Ontario",23.7,15.7,23.7
2012,"North Zone, Alberta",27.9,9,27.9
2012,"Northeast Health Service Delivery Area, British Columbia",27.4,8.9,27.4
2012,"Northern Interior Health Service Delivery Area, British Columbia",24.5,12.8,24.5
2012,"Northern Regional Health Authority, Manitoba",39.2,6.3,39.2
2012,"Northwest Health Service Delivery Area, British Columbia",26,12.5,26
2012,Northwest Territories,28.6,5.8,28.6
2012,"Northwestern Health Unit, Ontario",27,14.2,27
2012,Nova Scotia,20.5,17,20.5
2012,Nunavut,41,3.3,41
2012,"Okanagan Health Service Delivery Area, British Columbia",19.7,21.6,19.7
2012,Ontario by Health Unit,23.1,14.7,23.1
2012,Ontario by Local Health Integration Network,23.1,14.7,23.1
2012,"Oxford Elgin St. Thomas Health Unit, Ontario ",25,16.3,25
2012,"Peel Regional Health Unit, Ontario",26.4,10.7,26.4
2012,Peer group A,27,10.9,27
2012,Peer group B,23.2,13.7,23.2
2012,Peer group C,20.9,18.5,20.9
2012,Peer group D,23.7,16.1,23.7
2012,Peer group E,19.7,18.9,19.7
2012,Peer group F,40.5,5.2,40.5
2012,Peer group G,19.8,14.6,19.8
2012,Peer group H,24.5,12.4,24.5
2012,"Perth District Health Unit, Ontario",24.7,16.6,24.7
2012,"Peterborough County-City Health Unit, Ontario",20.1,20.3,20.1
2012,"Porcupine Health Unit, Ontario",24,14.8,24
2012,"Prairie Mountain Health, Manitoba",25.2,17.7,25.2
2012,"Prairie North Regional Health Authority, Saskatchewan",30.4,11.8,30.4
2012,"Prince Albert Parkland Regional Health Authority, Saskatchewan",28.6,14.7,28.6
2012,Prince Edward Island,22.5,16.6,22.5
2012,Quebec,21.4,16.1,21.4
2012,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",24.4,13.4,24.4
2012,"Renfrew County and District Health Unit, Ontario",21.4,18.4,21.4
2012,"Richmond Health Service Delivery Area, British Columbia",20.3,13.8,20.3
2012,"Région de Lanaudière, Quebec",23.1,14.5,23.1
2012,"Région de Laval, Quebec",23.3,15.6,23.3
2012,"Région de Montréal, Quebec",20.1,15.5,20.1
2012,"Région de l'Abitibi-Témiscamingue, Quebec",22.7,15.2,22.7
2012,"Région de l'Estrie, Quebec",21.3,17.9,21.3
2012,"Région de l'Outaouais, Quebec",22.8,13.1,22.8
2012,"Région de la Capitale-Nationale, Quebec",19,17.8,19
2012,"Région de la Chaudière-Appalaches, Quebec",21.5,17.2,21.5
2012,"Région de la Côte-Nord, Quebec",22.2,14.8,22.2
2012,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",17.6,21.2,17.6
2012,"Région de la Mauricie et du Centre-du-Québec, Quebec",20,19.5,20
2012,"Région de la Montérégie, Quebec",22.9,15.3,22.9
2012,"Région des Laurentides, Quebec",22.8,14.9,22.8
2012,"Région des Terres-Cries-de-la-Baie-James, Quebec",40.7,5.1,40.7
2012,"Région du Bas-Saint-Laurent, Quebec",19,20.2,19
2012,"Région du Nord-du-Québec, Quebec",23.8,11.3,23.8
2012,"Région du Nunavik, Quebec",43.5,3.4,43.5
2012,"Région du Saguenay - Lac-Saint-Jean, Quebec",20.1,17.9,20.1
2012,Saskatchewan,25.6,14.5,25.6
2012,"Saskatoon Regional Health Authority, Saskatchewan",24.4,12.9,24.4
2012,"Simcoe Muskoka District Health Unit, Ontario",22.9,16.6,22.9
2012,"South East Health Integration Network, Ontario",20.6,19.3,20.6
2012,"South Vancouver Island Health Service Delivery Area, British Columbia",18.2,18.8,18.2
2012,"South West Health Integration Network, Ontario",23.1,16.7,23.1
2012,"South Zone, Alberta",26.4,14.1,26.4
2012,"Southern Health, Manitoba",31.5,12.6,31.5
2012,"Sudbury and District Health Unit, Ontario",21.4,16.7,21.4
2012,"Sun Country Regional Health Authority, Saskatchewan",24.9,16.2,24.9
2012,"Sunrise Regional Health Authority, Saskatchewan",22.5,21.7,22.5
2012,"Thompson/Cariboo Health Service Delivery Area, British Columbia",20.8,18.5,20.8
2012,"Thunder Bay District Health Unit, Ontario",21.9,16.4,21.9
2012,"Timiskaming Health Unit, Ontario",20.9,19.6,20.9
2012,"Toronto Central Health Integration Network, Ontario",20.5,14.2,20.5
2012,"Vancouver Health Service Delivery Area, British Columbia",16.3,13.3,16.3
2012,"Waterloo Health Unit, Ontario",24.5,12.6,24.5
2012,"Waterloo Wellington Health Integration Network, Ontario",24.5,13.1,24.5
2012,"Wellington-Dufferin-Guelph Health Unit, Ontario",24.9,13.9,24.9
2012,"Western Regional Health Authority, Newfoundland and Labrador",19.1,19.1,19.1
2012,"Windsor-Essex County Health Unit, Ontario",23.9,15.4,23.9
2012,"Winnipeg Regional Health Authority, Manitoba",23.2,14.3,23.2
2012,"York Regional Health Unit, Ontario",25.3,12,25.3
2012,Yukon,22.9,9.2,22.9
2012,"Zone 1 (Moncton area), New Brunswick",20.1,16.4,20.1
2012,"Zone 1 - Western, Nova Scotia",19.5,20.7,19.5
2012,"Zone 2 (Saint John area), New Brunswick",22.3,16.2,22.3
2012,"Zone 2 - Northern, Nova Scotia",21.2,18.4,21.2
2012,"Zone 3 (Fredericton area), New Brunswick",22.4,15.5,22.4
2012,"Zone 3 - Eastern, Nova Scotia",20.3,20.1,20.3
2012,"Zone 4 (Edmundston area), New Brunswick",19,17.7,19
2012,"Zone 4 - Central, Nova Scotia",20.7,13.6,20.7
2012,"Zone 5 (Campbellton area), New Brunswick",17.4,21.8,17.4
2012,"Zone 6 (Bathurst area), New Brunswick",17.4,19.5,17.4
2012,"Zone 7 (Miramichi area), New Brunswick",20.1,18.8,20.1
2013,Alberta,24.6,11.2,24.6
2013,"Athabasca Health Authority, Saskatchewan",40.8,5.3,40.8
2013,"Brant County Health Unit, Ontario",24.3,15.7,24.3
2013,British Columbia,20.7,16.2,20.7
2013,"Calgary Zone, Alberta",24.1,10.2,24.1
2013,Canada,22.4,15.3,22.4
2013,"Central East Health Integration Network, Ontario",22.1,15.4,22.1
2013,"Central Health Integration Network, Ontario",23.2,13.4,23.2
2013,"Central Regional Health Authority, Newfoundland and Labrador",18.6,20.8,18.6
2013,"Central Vancouver Island Health Service Delivery Area, British Columbia",19.1,22.7,19.1
2013,"Central West Health Integration Network, Ontario",26.5,11.1,26.5
2013,"Central Zone, Alberta",25.6,13.8,25.6
2013,"Champlain Health Integration Network, Ontario",22.6,15,22.6
2013,"Chatham-Kent Health Unit, Ontario",22.7,18.9,22.7
2013,"City of Hamilton Health Unit, Ontario",22.5,16,22.5
2013,"City of Ottawa Health Unit, Ontario",22.9,13.8,22.9
2013,"City of Toronto Health Unit, Ontario",20.3,14.5,20.3
2013,"Cypress Regional Health Authority, Saskatchewan",23.6,18.5,23.6
2013,"District of Algoma Health Unit, Ontario",19.4,21.5,19.4
2013,"Durham Regional Health Unit, Ontario",25.1,12.8,25.1
2013,"East Kootenay Health Service Delivery Area, British Columbia",20.6,18.5,20.6
2013,"Eastern Ontario Health Unit, Ontario",22.1,17.6,22.1
2013,"Eastern Regional Health Authority, Newfoundland and Labrador",20.2,15.7,20.2
2013,"Edmonton Zone, Alberta",23.5,11.4,23.5
2013,"Erie St. Clair Health Integration Network, Ontario",23,17.1,23
2013,"Five Hills Regional Health Authority, Saskatchewan",22.4,18.9,22.4
2013,"Fraser East Health Service Delivery Area, British Columbia",24.6,16,24.6
2013,"Fraser North Health Service Delivery Area, British Columbia",21.1,12.9,21.1
2013,"Fraser South Health Service Delivery Area, British Columbia",24.3,14,24.3
2013,"Grey Bruce Health Unit, Ontario",20.6,21.7,20.6
2013,"Haldimand-Norfolk Health Unit, Ontario",22.3,18.7,22.3
2013,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",18.7,23.8,18.7
2013,"Halton Regional Health Unit, Ontario",26,13.7,26
2013,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",22.2,17.5,22.2
2013,"Hastings and Prince Edward Counties Health Unit, Ontario",20.6,20.5,20.6
2013,"Heartland Regional Health Authority, Saskatchewan",24.2,19.1,24.2
2013,"Huron County Health Unit, Ontario",23.1,20.7,23.1
2013,"Interlake-Eastern Regional Health Authority, Manitoba",25.3,16.6,25.3
2013,"Keewatin Yatthé Regional Health Authority, Saskatchewan",38.3,6.8,38.3
2013,"Kelsey Trail Regional Health Authority, Saskatchewan",25.6,19.9,25.6
2013,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",20.5,18,20.5
2013,"Kootenay-Boundary Health Service Delivery Area, British Columbia",19.2,20.5,19.2
2013,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",23.8,11.6,23.8
2013,"Lambton Health Unit, Ontario",21.4,19.5,21.4
2013,"Leeds, Grenville and Lanark District Health Unit, Ontario",20.5,20.3,20.5
2013,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",41.7,5.5,41.7
2013,"Mamawetan/Keewatin/Athabasca, Saskatchewan",40.6,5.9,40.6
2013,Manitoba,25.7,14.5,25.7
2013,"Middlesex-London Health Unit, Ontario",22.5,15.4,22.5
2013,"Mississauga Halton Health Integration Network, Ontario",24.9,12.3,24.9
2013,New Brunswick,20.4,17.6,20.4
2013,Newfoundland and Labrador,19.9,17,19.9
2013,"Niagara Regional Area Health Unit, Ontario",21.1,19.6,21.1
2013,"North Bay Parry Sound District Health Unit, Ontario",19.7,20.2,19.7
2013,"North East Health Integration Network, Ontario",20.8,18.7,20.8
2013,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",20.8,17.8,20.8
2013,"North Simcoe Muskoka Health Integration Network, Ontario",22.1,17.8,22.1
2013,"North Vancouver Island Health Service Delivery Area, British Columbia",20.2,20.3,20.2
2013,"North West Health Integration Network, Ontario",23.4,16.2,23.4
2013,"North Zone, Alberta",27.6,9.1,27.6
2013,"Northeast Health Service Delivery Area, British Columbia",27.1,9.1,27.1
2013,"Northern Interior Health Service Delivery Area, British Columbia",24.1,13.3,24.1
2013,"Northern Regional Health Authority, Manitoba",38.9,6.5,38.9
2013,"Northwest Health Service Delivery Area, British Columbia",25.5,12.9,25.5
2013,Northwest Territories,28,6.1,28
2013,"Northwestern Health Unit, Ontario",26.7,14.6,26.7
2013,Nova Scotia,20.2,17.7,20.2
2013,Nunavut,40.9,3.4,40.9
2013,"Okanagan Health Service Delivery Area, British Columbia",19.3,22.1,19.3
2013,Ontario by Health Unit,22.8,15.2,22.8
2013,Ontario by Local Health Integration Network,22.8,15.2,22.8
2013,"Oxford Elgin St. Thomas Health Unit, Ontario ",24.6,16.8,24.6
2013,"Peel Regional Health Unit, Ontario",26,11.2,26
2013,Peer group A,26.8,11.1,26.8
2013,Peer group B,23,14,23
2013,Peer group C,20.6,19.1,20.6
2013,Peer group D,23.4,16.5,23.4
2013,Peer group E,19.3,19.7,19.3
2013,Peer group F,40.1,5.4,40.1
2013,Peer group G,19.7,14.8,19.7
2013,Peer group H,24.1,12.9,24.1
2013,"Perth District Health Unit, Ontario",24.5,17,24.5
2013,"Peterborough County-City Health Unit, Ontario",19.9,20.9,19.9
2013,"Porcupine Health Unit, Ontario",23.8,15.2,23.8
2013,"Prairie Mountain Health, Manitoba",25.1,17.9,25.1
2013,"Prairie North Regional Health Authority, Saskatchewan",30.3,11.9,30.3
2013,"Prince Albert Parkland Regional Health Authority, Saskatchewan",28.3,15.1,28.3
2013,Prince Edward Island,22.2,17.3,22.2
2013,Quebec,21.2,16.6,21.2
2013,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",24.3,13.5,24.3
2013,"Renfrew County and District Health Unit, Ontario",21.1,18.9,21.1
2013,"Richmond Health Service Delivery Area, British Columbia",19.8,14.4,19.8
2013,"Région de Lanaudière, Quebec",22.9,15.1,22.9
2013,"Région de Laval, Quebec",23.2,15.9,23.2
2013,"Région de Montréal, Quebec",20.1,15.7,20.1
2013,"Région de l'Abitibi-Témiscamingue, Quebec",22.4,15.7,22.4
2013,"Région de l'Estrie, Quebec",21.1,18.5,21.1
2013,"Région de l'Outaouais, Quebec",22.7,13.6,22.7
2013,"Région de la Capitale-Nationale, Quebec",19,18.3,19
2013,"Région de la Chaudière-Appalaches, Quebec",21.4,17.8,21.4
2013,"Région de la Côte-Nord, Quebec",22,15.3,22
2013,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",17.2,22.1,17.2
2013,"Région de la Mauricie et du Centre-du-Québec, Quebec",19.8,20,19.8
2013,"Région de la Montérégie, Quebec",22.6,15.8,22.6
2013,"Région des Laurentides, Quebec",22.4,15.5,22.4
2013,"Région des Terres-Cries-de-la-Baie-James, Quebec",40.5,5.1,40.5
2013,"Région du Bas-Saint-Laurent, Quebec",18.8,21,18.8
2013,"Région du Nord-du-Québec, Quebec",23.2,11.7,23.2
2013,"Région du Nunavik, Quebec",42.9,3.4,42.9
2013,"Région du Saguenay - Lac-Saint-Jean, Quebec",19.9,18.5,19.9
2013,Saskatchewan,25.4,14.5,25.4
2013,"Saskatoon Regional Health Authority, Saskatchewan",24.4,13,24.4
2013,"Simcoe Muskoka District Health Unit, Ontario",22.5,17.1,22.5
2013,"South East Health Integration Network, Ontario",20.2,20,20.2
2013,"South Vancouver Island Health Service Delivery Area, British Columbia",18.2,19.2,18.2
2013,"South West Health Integration Network, Ontario",22.8,17.3,22.8
2013,"South Zone, Alberta",26.4,14.4,26.4
2013,"Southern Health, Manitoba",31.3,12.7,31.3
2013,"Sudbury and District Health Unit, Ontario",21.2,17.2,21.2
2013,"Sun Country Regional Health Authority, Saskatchewan",24.7,16,24.7
2013,"Sunrise Regional Health Authority, Saskatchewan",22.6,21.6,22.6
2013,"Thompson/Cariboo Health Service Delivery Area, British Columbia",20.3,19.1,20.3
2013,"Thunder Bay District Health Unit, Ontario",21.6,17,21.6
2013,"Timiskaming Health Unit, Ontario",20.7,20,20.7
2013,"Toronto Central Health Integration Network, Ontario",20.3,14.5,20.3
2013,"Vancouver Health Service Delivery Area, British Columbia",16,13.6,16
2013,"Waterloo Health Unit, Ontario",24.3,13,24.3
2013,"Waterloo Wellington Health Integration Network, Ontario",24.3,13.5,24.3
2013,"Wellington-Dufferin-Guelph Health Unit, Ontario",24.5,14.4,24.5
2013,"Western Regional Health Authority, Newfoundland and Labrador",18.7,19.9,18.7
2013,"Windsor-Essex County Health Unit, Ontario",23.6,15.8,23.6
2013,"Winnipeg Regional Health Authority, Manitoba",23.1,14.6,23.1
2013,"York Regional Health Unit, Ontario",24.9,12.7,24.9
2013,Yukon,22.4,9.8,22.4
2013,"Zone 1 (Moncton area), New Brunswick",20,17.1,20
2013,"Zone 1 - Western, Nova Scotia",19.1,21.6,19.1
2013,"Zone 2 (Saint John area), New Brunswick",21.9,16.9,21.9
2013,"Zone 2 - Northern, Nova Scotia",20.9,19.2,20.9
2013,"Zone 3 (Fredericton area), New Brunswick",22.1,16,22.1
2013,"Zone 3 - Eastern, Nova Scotia",19.9,21,19.9
2013,"Zone 4 (Edmundston area), New Brunswick",18.6,18.7,18.6
2013,"Zone 4 - Central, Nova Scotia",20.6,14.2,20.6
2013,"Zone 5 (Campbellton area), New Brunswick",16.8,22.7,16.8
2013,"Zone 6 (Bathurst area), New Brunswick",16.9,20.5,16.9
2013,"Zone 7 (Miramichi area), New Brunswick",19.7,19.6,19.7
2014,Alberta,24.5,11.4,24.5
2014,"Athabasca Health Authority, Saskatchewan",41.2,5,41.2
2014,"Brant County Health Unit, Ontario",24.1,16,24.1
2014,British Columbia,20.4,16.6,20.4
2014,"Calgary Zone, Alberta",24,10.4,24
2014,Canada,22.2,15.6,22.2
2014,"Central East Health Integration Network, Ontario",21.8,15.7,21.8
2014,"Central Health Integration Network, Ontario",22.9,13.8,22.9
2014,"Central Regional Health Authority, Newfoundland and Labrador",18.3,21.7,18.3
2014,"Central Vancouver Island Health Service Delivery Area, British Columbia",18.8,23.3,18.8
2014,"Central West Health Integration Network, Ontario",26.1,11.5,26.1
2014,"Central Zone, Alberta",25.4,14,25.4
2014,"Champlain Health Integration Network, Ontario",22.5,15.4,22.5
2014,"Chatham-Kent Health Unit, Ontario",22.5,19.5,22.5
2014,"City of Hamilton Health Unit, Ontario",22.2,16.3,22.2
2014,"City of Ottawa Health Unit, Ontario",22.8,14.3,22.8
2014,"City of Toronto Health Unit, Ontario",20,14.7,20
2014,"Cypress Regional Health Authority, Saskatchewan",23.4,18.6,23.4
2014,"District of Algoma Health Unit, Ontario",19.2,22.1,19.2
2014,"Durham Regional Health Unit, Ontario",24.8,13.3,24.8
2014,"East Kootenay Health Service Delivery Area, British Columbia",20.3,19.1,20.3
2014,"Eastern Ontario Health Unit, Ontario",21.7,18.2,21.7
2014,"Eastern Regional Health Authority, Newfoundland and Labrador",20.1,16.2,20.1
2014,"Edmonton Zone, Alberta",23.5,11.5,23.5
2014,"Erie St. Clair Health Integration Network, Ontario",22.8,17.6,22.8
2014,"Five Hills Regional Health Authority, Saskatchewan",22.5,19,22.5
2014,"Fraser East Health Service Delivery Area, British Columbia",24.2,16.4,24.2
2014,"Fraser North Health Service Delivery Area, British Columbia",20.7,13.2,20.7
2014,"Fraser South Health Service Delivery Area, British Columbia",23.9,14.3,23.9
2014,"Grey Bruce Health Unit, Ontario",20.3,22.3,20.3
2014,"Haldimand-Norfolk Health Unit, Ontario",22,19.3,22
2014,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",18.3,24.6,18.3
2014,"Halton Regional Health Unit, Ontario",25.9,14,25.9
2014,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",22,17.9,22
2014,"Hastings and Prince Edward Counties Health Unit, Ontario",20.4,21.1,20.4
2014,"Heartland Regional Health Authority, Saskatchewan",24.1,19,24.1
2014,"Huron County Health Unit, Ontario",22.9,21.3,22.9
2014,"Interlake-Eastern Regional Health Authority, Manitoba",25,16.9,25
2014,"Keewatin Yatthé Regional Health Authority, Saskatchewan",37.9,7,37.9
2014,"Kelsey Trail Regional Health Authority, Saskatchewan",25.4,20.2,25.4
2014,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",20.3,18.6,20.3
2014,"Kootenay-Boundary Health Service Delivery Area, British Columbia",18.9,21.1,18.9
2014,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",23.6,12.2,23.6
2014,"Lambton Health Unit, Ontario",21.1,20,21.1
2014,"Leeds, Grenville and Lanark District Health Unit, Ontario",20.2,20.9,20.2
2014,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",41.2,5.8,41.2
2014,"Mamawetan/Keewatin/Athabasca, Saskatchewan",40.2,6.1,40.2
2014,Manitoba,25.6,14.6,25.6
2014,"Middlesex-London Health Unit, Ontario",22.4,15.8,22.4
2014,"Mississauga Halton Health Integration Network, Ontario",24.7,12.7,24.7
2014,New Brunswick,20.1,18.3,20.1
2014,Newfoundland and Labrador,19.7,17.6,19.7
2014,"Niagara Regional Area Health Unit, Ontario",20.8,20,20.8
2014,"North Bay Parry Sound District Health Unit, Ontario",19.5,20.9,19.5
2014,"North East Health Integration Network, Ontario",20.6,19.2,20.6
2014,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",20.5,18.1,20.5
2014,"North Simcoe Muskoka Health Integration Network, Ontario",21.8,18.3,21.8
2014,"North Vancouver Island Health Service Delivery Area, British Columbia",19.9,21,19.9
2014,"North West Health Integration Network, Ontario",23.1,16.7,23.1
2014,"North Zone, Alberta",27.4,9.3,27.4
2014,"Northeast Health Service Delivery Area, British Columbia",26.9,9.1,26.9
2014,"Northern Interior Health Service Delivery Area, British Columbia",23.7,13.7,23.7
2014,"Northern Regional Health Authority, Manitoba",38.8,6.7,38.8
2014,"Northwest Health Service Delivery Area, British Columbia",25,13.2,25
2014,Northwest Territories,27.3,6.5,27.3
2014,"Northwestern Health Unit, Ontario",26.4,15.1,26.4
2014,Nova Scotia,20,18.4,20
2014,Nunavut,40.8,3.5,40.8
2014,"Okanagan Health Service Delivery Area, British Columbia",19,22.5,19
2014,Ontario by Health Unit,22.5,15.6,22.5
2014,Ontario by Local Health Integration Network,22.5,15.6,22.5
2014,"Oxford Elgin St. Thomas Health Unit, Ontario ",24.4,17.3,24.4
2014,"Peel Regional Health Unit, Ontario",25.6,11.7,25.6
2014,Peer group A,26.6,11.3,26.6
2014,Peer group B,22.9,14.4,22.9
2014,Peer group C,20.4,19.7,20.4
2014,Peer group D,23.2,17,23.2
2014,Peer group E,19,20.5,19
2014,Peer group F,39.9,5.6,39.9
2014,Peer group G,19.5,15,19.5
2014,Peer group H,23.7,13.3,23.7
